uid,eventType,datetime,home_stay
u09,HomeMobility,2013-03-27 00:08:32,True
u09,HomeMobility,2013-03-27 00:28:32,True
u09,HomeMobility,2013-03-27 00:48:32,True
u09,HomeMobility,2013-03-27 01:08:36,True
u09,HomeMobility,2013-03-27 01:28:33,True
u09,HomeMobility,2013-03-27 01:48:32,True
u09,HomeMobility,2013-03-27 02:08:32,True
u09,HomeMobility,2013-03-27 02:28:35,True
u09,HomeMobility,2013-03-27 02:48:32,True
u09,HomeMobility,2013-03-27 03:08:32,True
u09,HomeMobility,2013-03-27 03:28:32,True
u09,HomeMobility,2013-03-27 03:48:32,True
u09,HomeMobility,2013-03-27 04:08:32,True
u09,HomeMobility,2013-03-27 04:28:32,True
u09,HomeMobility,2013-03-27 04:48:32,True
u09,HomeMobility,2013-03-27 05:08:32,True
u09,HomeMobility,2013-03-27 05:28:32,True
u09,HomeMobility,2013-03-27 05:48:32,True
u09,HomeMobility,2013-03-27 06:08:32,True
u09,HomeMobility,2013-03-27 06:28:34,True
u09,HomeMobility,2013-03-27 06:48:32,True
u09,HomeMobility,2013-03-27 07:08:34,True
u09,HomeMobility,2013-03-27 07:28:34,True
u09,HomeMobility,2013-03-27 07:48:32,True
u09,HomeMobility,2013-03-27 08:08:34,True
u09,HomeMobility,2013-03-27 08:28:32,True
u09,HomeMobility,2013-03-27 08:48:32,True
u09,HomeMobility,2013-03-27 09:08:34,False
u09,HomeMobility,2013-03-27 09:28:32,False
u09,HomeMobility,2013-03-27 09:48:32,False
u09,HomeMobility,2013-03-27 10:08:33,False
u09,HomeMobility,2013-03-27 10:28:32,False
u09,HomeMobility,2013-03-27 10:48:32,False
u09,HomeMobility,2013-03-27 11:08:33,False
u09,HomeMobility,2013-03-27 11:28:09,True
u09,HomeMobility,2013-03-27 11:48:32,True
u09,HomeMobility,2013-03-27 12:08:32,True
u09,HomeMobility,2013-03-27 12:28:34,False
u09,HomeMobility,2013-03-27 12:48:33,False
u09,HomeMobility,2013-03-27 13:08:32,False
u09,HomeMobility,2013-03-27 13:28:32,False
u09,HomeMobility,2013-03-27 13:48:33,False
u09,HomeMobility,2013-03-27 14:08:32,False
u09,HomeMobility,2013-03-27 14:28:33,False
u09,HomeMobility,2013-03-27 14:48:31,False
u09,HomeMobility,2013-03-27 15:08:32,True
u09,HomeMobility,2013-03-27 15:28:32,True
u09,HomeMobility,2013-03-27 15:48:32,True
u09,HomeMobility,2013-03-27 16:08:32,True
u09,HomeMobility,2013-03-27 16:28:32,True
u09,HomeMobility,2013-03-27 16:48:32,True
u09,HomeMobility,2013-03-27 17:08:32,True
u09,HomeMobility,2013-03-27 17:28:32,True
