uid,eventType,datetime,home_stay
u35,HomeMobility,2013-03-27 00:09:14,False
u35,HomeMobility,2013-03-27 00:29:14,False
u35,HomeMobility,2013-03-27 00:49:14,False
u35,HomeMobility,2013-03-27 01:09:14,False
u35,HomeMobility,2013-03-27 01:29:14,False
u35,HomeMobility,2013-03-27 01:49:14,False
u35,HomeMobility,2013-03-27 02:09:14,False
u35,HomeMobility,2013-03-27 02:29:14,False
u35,HomeMobility,2013-03-27 02:49:14,False
u35,HomeMobility,2013-03-27 03:09:14,False
u35,HomeMobility,2013-03-27 03:29:14,False
u35,HomeMobility,2013-03-27 03:49:14,False
u35,HomeMobility,2013-03-27 04:09:14,False
u35,HomeMobility,2013-03-27 04:29:14,False
u35,HomeMobility,2013-03-27 04:49:14,False
u35,HomeMobility,2013-03-27 05:09:14,False
u35,HomeMobility,2013-03-27 05:29:14,False
u35,HomeMobility,2013-03-27 05:49:14,False
u35,HomeMobility,2013-03-27 06:09:14,False
u35,HomeMobility,2013-03-27 06:29:14,False
u35,HomeMobility,2013-03-27 06:49:14,False
u35,HomeMobility,2013-03-27 07:09:14,False
u35,HomeMobility,2013-03-27 07:29:14,False
u35,HomeMobility,2013-03-27 07:49:14,False
u35,HomeMobility,2013-03-27 08:09:14,False
u35,HomeMobility,2013-03-27 08:29:14,False
u35,HomeMobility,2013-03-27 08:49:14,False
u35,HomeMobility,2013-03-27 08:49:17,False
u35,HomeMobility,2013-03-27 09:29:14,False
u35,HomeMobility,2013-03-27 09:49:14,False
u35,HomeMobility,2013-03-27 10:09:14,False
u35,HomeMobility,2013-03-27 10:29:14,False
u35,HomeMobility,2013-03-27 10:49:14,False
u35,HomeMobility,2013-03-27 11:09:14,False
u35,HomeMobility,2013-03-27 11:29:14,False
u35,HomeMobility,2013-03-27 11:49:14,False
u35,HomeMobility,2013-03-27 12:09:14,False
u35,HomeMobility,2013-03-27 12:29:14,False
u35,HomeMobility,2013-03-27 12:49:14,False
u35,HomeMobility,2013-03-27 13:09:14,False
u35,HomeMobility,2013-03-27 13:29:14,False
u35,HomeMobility,2013-03-27 13:49:14,False
u35,HomeMobility,2013-03-27 14:09:14,False
u35,HomeMobility,2013-03-27 14:43:02,False
u35,HomeMobility,2013-03-27 15:08:18,False
u35,HomeMobility,2013-03-27 15:31:45,False
u35,HomeMobility,2013-03-28 13:03:36,False
u35,HomeMobility,2013-03-28 13:23:43,False
u35,HomeMobility,2013-03-28 13:43:43,False
u35,HomeMobility,2013-03-28 13:43:44,False
u35,HomeMobility,2013-03-28 15:43:46,True
u35,HomeMobility,2013-03-28 16:03:46,True
u35,HomeMobility,2013-03-28 16:43:46,True
u35,HomeMobility,2013-03-28 17:03:46,True
u35,HomeMobility,2013-03-28 17:23:46,True
u35,HomeMobility,2013-03-28 17:42:48,True
u35,HomeMobility,2013-03-28 18:03:46,True
u35,HomeMobility,2013-03-28 18:23:46,True
u35,HomeMobility,2013-03-28 18:43:46,True
u35,HomeMobility,2013-03-28 19:03:45,True
u35,HomeMobility,2013-03-28 19:23:46,True
u35,HomeMobility,2013-03-28 19:43:45,True
u35,HomeMobility,2013-03-28 20:03:45,True
u35,HomeMobility,2013-03-28 20:23:45,True
u35,HomeMobility,2013-03-28 20:43:44,True
u35,HomeMobility,2013-03-28 21:03:43,True
u35,HomeMobility,2013-03-28 21:23:43,True
u35,HomeMobility,2013-03-28 21:43:43,True
u35,HomeMobility,2013-03-28 22:03:43,True
u35,HomeMobility,2013-03-28 22:23:43,True
u35,HomeMobility,2013-03-28 22:43:43,True
u35,HomeMobility,2013-03-28 23:03:43,True
u35,HomeMobility,2013-03-28 23:23:43,True
u35,HomeMobility,2013-03-28 23:43:43,True
