uid,typeEvent,inference,startDate,endDate,duration
u16,Physical activity,0,2013-03-27 00:00:51,2013-03-27 07:49:27,28116
u16,Physical activity,3,2013-03-27 07:49:30,2013-03-27 07:49:35,5
u16,Physical activity,0,2013-03-27 07:49:37,2013-03-27 07:57:44,487
u16,Physical activity,3,2013-03-27 07:57:50,2013-03-27 07:57:57,7
u16,Physical activity,0,2013-03-27 08:01:01,2013-03-27 08:17:46,1005
u16,Physical activity,3,2013-03-27 08:17:49,2013-03-27 08:17:51,2
u16,Physical activity,0,2013-03-27 08:17:54,2013-03-27 08:29:24,690
u16,Physical activity,1,2013-03-27 08:29:29,2013-03-27 08:29:29,0
u16,Physical activity,0,2013-03-27 08:29:34,2013-03-27 08:29:34,0
u16,Physical activity,3,2013-03-27 08:29:44,2013-03-27 08:29:44,0
u16,Physical activity,0,2013-03-27 08:29:47,2013-03-27 08:37:08,441
u16,Physical activity,3,2013-03-27 08:37:13,2013-03-27 08:37:13,0
u16,Physical activity,0,2013-03-27 08:37:16,2013-03-27 08:37:49,33
u16,Physical activity,1,2013-03-27 08:37:52,2013-03-27 08:41:28,216
u16,Physical activity,0,2013-03-27 08:41:31,2013-03-27 08:41:31,0
u16,Physical activity,1,2013-03-27 08:41:33,2013-03-27 08:45:15,222
u16,Physical activity,0,2013-03-27 08:45:17,2013-03-27 08:45:20,3
u16,Physical activity,1,2013-03-27 08:45:23,2013-03-27 08:45:25,2
u16,Physical activity,0,2013-03-27 08:45:28,2013-03-27 08:45:53,25
u16,Physical activity,1,2013-03-27 08:45:56,2013-03-27 08:45:56,0
u16,Physical activity,0,2013-03-27 08:45:59,2013-03-27 08:45:59,0
u16,Physical activity,1,2013-03-27 08:49:02,2013-03-27 08:53:09,247
u16,Physical activity,0,2013-03-27 08:53:11,2013-03-27 09:25:15,1924
u16,Physical activity,3,2013-03-27 09:25:17,2013-03-27 09:25:28,11
u16,Physical activity,0,2013-03-27 09:25:30,2013-03-27 09:45:09,1179
u16,Physical activity,1,2013-03-27 09:45:12,2013-03-27 09:45:12,0
u16,Physical activity,2,2013-03-27 09:45:15,2013-03-27 09:45:33,18
u16,Physical activity,1,2013-03-27 09:45:35,2013-03-27 09:45:35,0
u16,Physical activity,2,2013-03-27 09:45:38,2013-03-27 09:45:43,5
u16,Physical activity,1,2013-03-27 09:45:46,2013-03-27 09:45:46,0
u16,Physical activity,2,2013-03-27 09:45:48,2013-03-27 09:45:48,0
u16,Physical activity,1,2013-03-27 09:45:51,2013-03-27 09:45:53,2
u16,Physical activity,2,2013-03-27 09:45:56,2013-03-27 09:45:58,2
u16,Physical activity,1,2013-03-27 09:46:01,2013-03-27 09:53:11,430
