uid,typeEvent,inference,startDate,endDate,duration
u12,Physical activity,0,2013-03-27 00:00:55,2013-03-27 07:01:03,25208
u12,Physical activity,3,2013-03-27 07:01:06,2013-03-27 07:01:08,2
u12,Physical activity,0,2013-03-27 07:01:11,2013-03-27 07:05:16,245
u12,Physical activity,1,2013-03-27 07:05:18,2013-03-27 07:05:49,31
u12,Physical activity,0,2013-03-27 07:05:52,2013-03-27 07:13:15,443
u12,Physical activity,3,2013-03-27 07:13:17,2013-03-27 07:13:23,6
u12,Physical activity,0,2013-03-27 07:13:25,2013-03-27 07:13:48,23
u12,Physical activity,3,2013-03-27 07:13:51,2013-03-27 07:13:53,2
u12,Physical activity,0,2013-03-27 07:17:02,2013-03-27 07:17:14,12
u12,Physical activity,1,2013-03-27 07:17:17,2013-03-27 07:21:04,227
u12,Physical activity,0,2013-03-27 07:21:06,2013-03-27 07:21:19,13
u12,Physical activity,1,2013-03-27 07:21:22,2013-03-27 07:24:56,214
u12,Physical activity,0,2013-03-27 07:24:58,2013-03-27 07:41:15,977
u12,Physical activity,1,2013-03-27 07:41:17,2013-03-27 07:41:22,5
u12,Physical activity,0,2013-03-27 07:41:25,2013-03-27 07:41:25,0
u12,Physical activity,1,2013-03-27 07:41:27,2013-03-27 07:44:56,209
u12,Physical activity,0,2013-03-27 07:45:01,2013-03-27 07:45:01,0
u12,Physical activity,2,2013-03-27 07:45:04,2013-03-27 07:45:04,0
u12,Physical activity,1,2013-03-27 07:45:06,2013-03-27 07:45:17,11
u12,Physical activity,0,2013-03-27 07:45:19,2013-03-27 07:45:27,8
u12,Physical activity,1,2013-03-27 07:45:30,2013-03-27 07:45:48,18
u12,Physical activity,0,2013-03-27 07:45:50,2013-03-27 07:49:42,232
u12,Physical activity,1,2013-03-27 07:49:50,2013-03-27 07:53:03,193
u12,Physical activity,0,2013-03-27 07:53:05,2013-03-27 07:53:10,5
u12,Physical activity,3,2013-03-27 07:53:13,2013-03-27 07:53:13,0
u12,Physical activity,0,2013-03-27 07:53:16,2013-03-27 07:53:16,0
u12,Physical activity,3,2013-03-27 07:53:18,2013-03-27 07:53:18,0
u12,Physical activity,1,2013-03-27 07:53:23,2013-03-27 07:53:34,11
u12,Physical activity,0,2013-03-27 07:53:44,2013-03-27 07:57:02,198
u12,Physical activity,3,2013-03-27 07:57:05,2013-03-27 08:01:02,237
