uid,eventType,datetime,endtime,duration,distance,is_travel
u23,TravelMobility,2013-03-27 13:07:19,2013-03-27 13:27:19,1200,3.36,False
u23,TravelMobility,2013-03-27 13:27:19,2013-03-27 14:47:20,4801,484.21,False
u23,TravelMobility,2013-03-27 14:47:20,2013-03-27 15:07:20,1200,483.09,False
u23,TravelMobility,2013-03-27 15:07:20,2013-03-27 15:25:23,1083,325.22,False
u23,TravelMobility,2013-03-27 15:25:23,2013-03-27 15:47:18,1315,318.52,False
u23,TravelMobility,2013-03-27 15:47:18,2013-03-27 16:07:19,1201,0.62,False
u23,TravelMobility,2013-03-27 16:07:19,2013-03-27 16:27:19,1200,0.73,False
u23,TravelMobility,2013-03-27 16:27:19,2013-03-27 16:47:19,1200,10.16,False
u23,TravelMobility,2013-03-27 16:47:19,2013-03-27 17:07:19,1200,17.1,False
u23,TravelMobility,2013-03-27 17:07:19,2013-03-27 17:27:19,1200,3.88,False
u23,TravelMobility,2013-03-27 17:27:19,2013-03-27 17:47:19,1200,5.51,False
u23,TravelMobility,2013-03-27 17:47:19,2013-03-27 18:07:19,1200,3.2,False
u23,TravelMobility,2013-03-27 18:07:19,2013-03-27 18:27:19,1200,3.05,False
u23,TravelMobility,2013-03-27 18:27:19,2013-03-27 18:47:19,1200,6.99,False
u23,TravelMobility,2013-03-27 18:47:19,2013-03-27 19:07:19,1200,5.54,False
u23,TravelMobility,2013-03-27 19:07:19,2013-03-27 19:27:19,1200,7.72,False
u23,TravelMobility,2013-03-27 19:27:19,2013-03-27 19:45:38,1099,5.16,False
u23,TravelMobility,2013-03-27 19:45:38,2013-03-27 20:07:19,1301,5.71,False
u23,TravelMobility,2013-03-27 20:07:19,2013-03-27 20:27:19,1200,8.29,False
u23,TravelMobility,2013-03-27 20:27:19,2013-03-27 20:47:19,1200,7.19,False
u23,TravelMobility,2013-03-27 20:47:19,2013-03-27 21:07:19,1200,14.84,False
u23,TravelMobility,2013-03-27 21:07:19,2013-03-27 21:27:19,1200,9.4,False
u23,TravelMobility,2013-03-27 21:27:19,2013-03-27 21:47:19,1200,3.8,False
u23,TravelMobility,2013-03-27 21:47:19,2013-03-27 22:07:19,1200,3.79,False
u23,TravelMobility,2013-03-27 22:07:19,2013-03-27 22:27:19,1200,6.45,False
u23,TravelMobility,2013-03-27 22:27:19,2013-03-27 22:47:19,1200,6.21,False
u23,TravelMobility,2013-03-27 22:47:19,2013-03-27 23:07:19,1200,11.12,False
u23,TravelMobility,2013-03-27 23:07:19,2013-03-27 23:27:20,1201,6.99,False
u23,TravelMobility,2013-03-27 23:27:20,2013-03-27 23:47:19,1199,5.93,False
u23,TravelMobility,2013-03-27 23:47:19,2013-03-28 00:07:19,1200,7.01,False
u23,TravelMobility,2013-03-28 00:07:19,2013-03-28 00:27:19,1200,1.08,False
u23,TravelMobility,2013-03-28 00:27:19,2013-03-28 00:47:19,1200,2.69,False
u23,TravelMobility,2013-03-28 00:47:19,2013-03-28 01:05:52,1113,6.15,False
