uid,eventType,datetime,endtime,duration,distance,is_travel
u24,TravelMobility,2013-03-27 13:07:34,2013-03-27 13:27:34,1200,2.26,False
u24,TravelMobility,2013-03-27 13:27:34,2013-03-27 13:47:35,1201,353.75,False
u24,TravelMobility,2013-03-27 13:47:35,2013-03-27 14:07:34,1199,5.96,False
u24,TravelMobility,2013-03-27 14:07:34,2013-03-27 14:27:34,1200,1.97,False
u24,TravelMobility,2013-03-27 14:27:34,2013-03-27 14:47:35,1201,47.65,False
u24,TravelMobility,2013-03-27 14:47:35,2013-03-27 15:07:37,1202,656.46,True
u24,TravelMobility,2013-03-27 15:07:37,2013-03-27 15:27:34,1197,1.67,False
u24,TravelMobility,2013-03-27 15:27:34,2013-03-27 15:47:34,1200,4.69,False
u24,TravelMobility,2013-03-27 15:47:34,2013-03-27 16:07:36,1202,4.06,False
u24,TravelMobility,2013-03-27 16:07:36,2013-03-27 16:27:35,1199,103.44,False
u24,TravelMobility,2013-03-27 16:27:35,2013-03-27 16:47:34,1199,3.19,False
u24,TravelMobility,2013-03-27 16:47:34,2013-03-27 17:07:34,1200,10.04,False
u24,TravelMobility,2013-03-27 17:07:34,2013-03-27 17:27:34,1200,4.85,False
u24,TravelMobility,2013-03-27 17:27:34,2013-03-27 17:47:34,1200,6.34,False
u24,TravelMobility,2013-03-27 17:47:34,2013-03-27 19:07:36,4802,2889.74,True
u24,TravelMobility,2013-03-27 19:07:36,2013-03-27 19:27:34,1198,2891.74,True
u24,TravelMobility,2013-03-27 19:27:34,2013-03-27 19:47:34,1200,3.65,False
u24,TravelMobility,2013-03-27 19:47:34,2013-03-27 20:07:35,1201,10.22,False
u24,TravelMobility,2013-03-27 20:07:35,2013-03-27 20:27:34,1199,11.63,False
u24,TravelMobility,2013-03-27 20:27:34,2013-03-27 20:47:34,1200,10.91,False
u24,TravelMobility,2013-03-27 20:47:34,2013-03-27 21:07:34,1200,4.49,False
u24,TravelMobility,2013-03-27 21:07:34,2013-03-27 21:27:34,1200,5.4,False
u24,TravelMobility,2013-03-27 21:27:34,2013-03-27 21:47:34,1200,3.5,False
u24,TravelMobility,2013-03-27 21:47:34,2013-03-27 22:07:34,1200,6.3,False
u24,TravelMobility,2013-03-27 22:07:34,2013-03-27 22:27:34,1200,5.46,False
u24,TravelMobility,2013-03-27 22:27:34,2013-03-27 22:47:34,1200,1.04,False
u24,TravelMobility,2013-03-27 22:47:34,2013-03-27 23:07:34,1200,0.61,False
u24,TravelMobility,2013-03-27 23:07:34,2013-03-27 23:27:34,1200,1.49,False
u24,TravelMobility,2013-03-27 23:27:34,2013-03-27 23:47:34,1200,2.6,False
u24,TravelMobility,2013-03-27 23:47:34,2013-03-28 00:07:34,1200,3.79,False
u24,TravelMobility,2013-03-28 00:07:34,2013-03-28 00:27:34,1200,3.62,False
u24,TravelMobility,2013-03-28 00:27:34,2013-03-28 00:47:34,1200,1.05,False
u24,TravelMobility,2013-03-28 00:47:34,2013-03-28 01:07:34,1200,0.02,False
u24,TravelMobility,2013-03-28 01:07:34,2013-03-28 01:27:34,1200,4.75,False
u24,TravelMobility,2013-03-28 01:27:34,2013-03-28 01:47:34,1200,5.43,False
u24,TravelMobility,2013-03-28 01:47:34,2013-03-28 02:07:34,1200,2.08,False
u24,TravelMobility,2013-03-28 02:07:34,2013-03-28 02:27:34,1200,3.4,False
u24,TravelMobility,2013-03-28 02:27:34,2013-03-28 02:47:34,1200,2.0,False
u24,TravelMobility,2013-03-28 02:47:34,2013-03-28 03:07:34,1200,3.37,False
u24,TravelMobility,2013-03-28 03:07:34,2013-03-28 03:27:34,1200,1.47,False
u24,TravelMobility,2013-03-28 03:27:34,2013-03-28 03:47:34,1200,1.76,False
u24,TravelMobility,2013-03-28 03:47:34,2013-03-28 04:07:34,1200,2.4,False
u24,TravelMobility,2013-03-28 04:07:34,2013-03-28 04:27:34,1200,9.06,False
